OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF
5,892,1,1967,892,892,0
7,1929,2,2001,1057,1057,872
5,1078,2,1971,1078,1078,0
6,1710,2,1993,832,832,878
6,1552,2,1975,713,811,741
5,864,2,1958,864,864,0
8,1924,2,1998,1086,1086,838
5,1077,1,1939,991,1077,0
5,1344,3,1916,624,624,720
6,1509,2,2002,783,807,702
9,1698,3,2007,1698,1698,0
6,2358,2,1908,907,1307,1051
4,864,2,1970,864,864,0
6,2614,2,1974,1522,1548,1066
6,1072,2,2005,547,1072,0
7,1674,2,2000,814,814,860
5,875,1,1931,715,875,0
5,1721,2,1968,1461,1721,0
6,1456,2,2005,728,728,728
7,1242,2,1973,1242,1242,0
6,1302,1,1964,1302,1302,0
8,2526,3,1994,1165,1203,1323
6,1291,2,1996,1291,1291,0
7,1661,2,1998,1649,1661,0
8,1601,2,2001,1581,1601,0
5,3086,0,1946,1598,1636,971
7,2069,2,1960,585,2069,0
6,1537,2,1962,1319,1537,0
5,1664,0,1965,0,1664,0
6,1196,2,1920,684,684,512
6,752,1,1984,744,752,0
7,2646,3,1993,1347,1372,1274
6,2058,2,1917,735,1134,924
5,964,2,1921,876,964,0
6,1786,2,1997,824,905,881
4,2230,1,1912,795,954,795
8,3279,3,2003,1650,1690,1589
4,1123,1,1939,732,772,351
8,2452,2,1998,1028,1210,1242
5,1268,1,1954,1268,1268,0
6,1386,2,1978,672,672,714
5,2620,2,1977,1361,1361,1259
7,1660,2,2002,831,831,829
5,1343,1,1921,731,820,523
7,1135,2,1936,560,575,560
4,1005,2,1955,1005,1005,0
7,1358,2,2004,1358,1358,0
7,2784,2,1978,1392,1392,1392
5,1134,1,1960,1010,1134,0
5,789,1,1948,789,789,0
8,1694,3,2008,1694,1694,0
5,1728,2,1963,1728,1728,0
5,1126,2,1977,1126,1126,0
5,1632,2,1967,1632,1632,0
6,1026,2,1978,940,1026,0
7,1411,2,1977,1386,1411,0
6,1792,2,2000,936,962,830
5,1620,2,1969,780,780,840
6,988,2,1969,938,988,0
5,1539,2,1936,927,1067,472
8,2482,3,2005,1094,1133,1349
7,1217,2,1990,1188,1217,0
8,1795,3,2006,1795,1795,0
5,1148,1,1952,980,1148,0
6,2119,2,1972,689,1378,741
6,1575,2,1992,1575,1575,0
5,1466,2,1959,1466,1466,0
6,1092,1,1971,525,525,567
4,1192,0,1949,720,720,472
6,1658,2,1995,773,773,885
6,2555,2,1922,588,1423,748
9,2018,3,2008,2002,2018,0
6,1396,1,1915,698,698,698
5,1812,2,1900,360,1032,780
6,1700,2,2003,1682,1700,0
6,1004,2,1977,975,1004,0
4,1440,0,1955,1440,1440,0
6,2144,2,1958,1444,1444,700
7,1250,2,2006,625,625,625
5,900,2,1951,900,900,0
6,1362,2,2005,1362,1362,0
5,1092,1,1962,1092,1092,0
7,2978,2,1967,710,1898,1080
6,1790,2,1972,732,1012,778
6,1032,2,1978,1032,1032,0
3,1306,0,1940,728,1306,0
5,1432,2,1910,264,768,664
6,1734,2,1962,912,1085,649
8,2612,3,1998,1225,1276,1336
7,1740,1,1940,800,960,780
7,1370,2,1976,1090,1370,0
5,1096,1,1969,1096,1096,0
4,1510,1,1940,755,755,755
7,1950,2,1997,975,975,975
5,2320,2,1948,0,1547,720
9,1746,3,2006,1746,1746,0
5,1184,0,1910,658,658,526
5,1235,2,1961,1235,1235,0
4,1152,0,1955,0,1152,0
6,1004,2,1970,1004,1004,0
7,1277,2,1970,1277,1277,0
6,1855,1,1954,994,1216,639
6,848,2,2003,848,848,0
5,900,1,1967,864,900,0
5,1250,1,1918,686,686,564
6,2380,2,1965,1021,1465,915
5,1283,2,1962,931,1283,0
7,1316,2,2007,1316,1316,0
6,1218,0,1971,672,672,546
6,1306,2,2005,1306,1306,0
7,1145,2,2005,1145,1145,0
8,1574,3,2006,1574,1574,0
7,1472,2,1991,384,802,670
9,2224,3,2004,1462,1462,762
5,1302,1,1971,630,630,672
3,774,0,1931,544,774,0
6,1577,1,1939,972,972,605
5,1063,1,1954,1056,1063,0
5,784,0,1924,784,784,0
7,1710,2,2003,856,856,854
6,1069,2,1977,1069,1069,0
5,1109,1,1971,372,576,533
7,1582,2,2004,770,770,812
9,2643,3,2006,2153,2069,574
7,2223,2,1973,2223,2223,0
5,1230,2,1910,440,682,548
5,864,0,1925,864,864,0
6,2073,2,1978,1542,2073,0
5,1128,1,1954,936,1128,0
5,864,1,1978,864,864,0
6,1412,2,1988,1392,1412,0
5,1092,1,1957,1092,1092,0
5,1328,1,1959,1350,1328,0
5,1867,1,1955,1617,1867,0
7,1774,2,1931,952,1022,752
7,2263,2,1977,795,1468,795
7,1200,2,2004,600,600,600
7,1824,2,1971,1643,1824,0
8,1624,3,1994,1624,1624,0
6,1068,1,1963,1059,1068,0
5,1050,1,1956,1050,1050,0
8,2531,3,1995,1318,1328,1203
5,980,2,1977,980,980,0
6,1593,2,2004,839,864,729
6,1298,2,1985,1298,1298,0
8,2097,3,2005,2077,2097,0
6,1095,1,1958,588,1095,0
6,1632,1,1958,1240,1632,0
7,1668,2,2003,840,840,828
7,1797,2,2006,939,939,858
4,1126,2,1949,0,1126,0
5,1456,1,1948,810,1002,454
7,2097,2,1998,1108,1108,989
6,1194,2,1959,655,1194,0
8,2473,3,2004,1143,1143,1330
6,1525,2,2000,756,769,756
5,1086,2,1954,1086,1086,0
7,1895,2,1994,712,1086,809
6,1362,2,1961,1362,1362,0
6,1350,2,1974,1064,1350,0
5,1327,2,1959,1063,1327,0
4,1230,1,1946,747,774,456
7,1889,1,1910,925,964,925
5,1285,1,1948,672,1072,213
5,1072,2,2005,547,1072,0
5,768,2,1972,768,768,0
6,2210,1,1880,1008,1178,1032
7,1382,2,2000,673,673,709
4,864,1,1970,864,864,0
6,1412,1,1939,780,825,587
6,1069,2,1977,1069,1069,0
6,987,1,1972,483,483,504
7,1982,2,1989,807,1175,807
7,1576,2,2006,770,778,798
6,2112,2,1969,952,1092,1020
6,848,2,2003,848,848,0
7,1456,2,2006,728,728,728
6,2872,2,1977,1330,1542,1330
4,1056,1,1966,1056,1056,0
5,1148,1,1959,1148,1148,0
5,1284,1,1947,720,720,564
7,1472,2,1980,1372,1472,0
5,2601,2,1921,612,990,1611
7,1442,2,1990,910,1442,0
4,1336,1,1920,637,897,439
5,1728,1,1964,1728,1728,0
5,1287,2,1959,1063,1287,0
5,1098,1,1955,1098,1098,0
5,1680,2,1976,1680,1680,0
7,1588,2,1999,1588,1588,0
5,792,1,1924,768,792,0
5,1114,2,2004,1114,1114,0
6,1505,2,1953,1505,1505,0
9,1838,3,2006,1838,1838,0
8,2132,2,1983,1496,1496,636
7,2034,2,1997,1057,1057,977
6,980,0,1975,945,980,0
5,1535,2,1979,0,1535,0
6,1476,2,2005,738,738,738
7,1902,2,1959,1902,1902,0
6,1429,2,1960,1144,1429,0
5,1040,2,1996,1040,1040,0
7,1530,3,2004,1530,1530,0
6,952,1,1916,952,952,0
3,968,0,1910,600,600,368
8,2715,2,1976,1142,1175,1540
8,1494,2,1995,1494,1494,0
5,1584,3,1967,1584,1584,0
8,1518,2,2003,1518,1518,0
5,1314,1,1957,1314,1314,0
7,1232,2,2007,1232,1232,0
4,936,2,1953,936,936,0
8,1719,2,1993,1719,1719,0
6,1054,2,1969,1054,1054,0
5,1344,1,1936,896,896,448
5,892,1,1966,864,892,0
5,1559,2,1948,1559,1559,0
7,1682,2,1970,1304,1682,0
5,882,2,1972,882,882,0
6,1660,1,1934,715,849,811
5,1795,1,1954,1050,1050,745
6,2229,0,1912,755,929,929
7,1573,2,2002,1573,1573,0
4,1529,1,1945,0,1088,441
8,2828,3,2006,1466,1466,1362
6,1611,2,1964,780,798,813
4,1047,1,1885,641,1047,0
6,1114,2,2003,1114,1114,0
6,1350,2,1964,1248,1350,0
6,987,1,1971,483,483,504
8,1247,2,2005,1247,1247,0
5,698,0,1947,698,698,0
8,1800,3,2002,1800,1800,0
6,1383,1,1960,1383,1383,0
8,1742,2,1985,1742,1742,0
6,1913,2,1928,896,1172,741
4,1470,1,1954,941,997,473
5,864,1,1965,864,864,0
4,845,1,1957,0,845,0
6,1484,2,2005,742,742,742
4,1440,0,1977,1440,1440,0
6,1481,2,1994,702,702,779
5,1776,3,1958,1584,1776,0
6,2447,1,1919,804,1699,748
7,1208,2,2006,1187,1208,0
6,1253,1,1960,1253,1253,0
7,2082,2,2003,1362,1362,720
7,1709,2,2004,970,970,739
6,1610,2,1977,1610,1610,0
7,2514,2,1990,1216,1298,1216
6,1512,2,2000,756,756,756
6,1638,2,1998,943,943,695
7,1428,2,2007,1428,1428,0
6,1376,1,1937,780,780,596
7,1820,1,1925,1026,1133,687
7,1524,2,1979,1332,1332,192
6,1285,2,1977,660,1285,0
7,1080,0,2004,1080,1080,0
5,616,1,1921,616,616,0
5,1306,1,1957,992,1306,0
4,1121,2,2003,1121,1121,0
4,952,1,1956,952,952,0
7,2398,3,1996,1379,1383,1015
6,972,1,1948,972,972,0
8,1464,3,2007,1485,1464,0
4,1663,2,1954,1364,1663,0
10,2076,3,2006,2076,2076,0
7,1337,2,2003,1337,1337,0
5,1200,2,1965,864,1200,0
7,1959,2,2004,847,847,1112
5,1367,1,1900,861,961,406
8,1646,3,2007,1638,1646,0
9,1752,2,2005,1752,1752,0
7,2157,2,1966,924,1216,941
5,1416,2,1918,816,1416,0
6,864,1,1959,864,864,0
6,1394,2,1963,1394,1394,0
8,1826,3,2005,1814,1826,0
7,2403,1,1940,1032,1207,1196
4,720,0,1920,720,720,0
5,1113,1,1950,1113,1113,0
6,1639,1,1936,1064,1166,0
8,2376,3,2005,1158,1158,1218
5,1768,1,1937,731,981,787
5,1040,1,1962,1040,1040,0
6,1694,2,1925,1181,1390,304
7,1775,2,1993,740,1006,769
10,4316,3,1994,2444,2444,1872
5,804,1,1940,788,804,0
6,1664,2,1947,1004,1004,660
5,1302,2,1970,630,630,672
6,1764,2,1997,928,928,836
7,767,1,1998,723,767,0
8,2198,3,2000,1145,1145,1053
7,1405,2,2003,1405,1405,0
6,1367,1,1931,884,959,408
5,1250,2,1910,661,661,589
6,2320,1,1945,1028,1436,884
5,768,2,1970,768,768,0
7,1928,2,2003,847,847,1081
6,1314,2,2006,1314,1314,0
6,1509,2,1988,1461,1509,0
7,1872,2,1988,1845,1872,0
7,1477,1,1928,861,877,600
8,2263,2,2001,1055,1055,1208
5,954,2,1976,911,954,0
3,1699,2,1900,978,1014,685
5,882,1,1959,0,882,0
5,1691,1,1924,1026,1026,665
6,1441,2,1978,855,855,586
5,1040,2,1977,1040,1040,0
6,1137,2,1987,1112,1137,0
6,1958,2,1946,979,979,979
7,1504,2,2005,1346,1504,0
6,2521,2,1973,942,1291,1230
5,1968,2,1969,784,1168,800
5,1352,1,1958,1062,1352,0
7,2295,2,1992,1095,1166,1129
6,1690,2,2000,924,948,742
4,869,0,1923,440,869,0
6,1103,2,1925,1103,1103,0
7,1363,2,1954,1385,1363,0
5,1656,2,1973,1656,1656,0
6,1138,1,1958,588,1138,0
9,1766,3,2009,1766,1766,0
8,1953,3,2005,1082,1082,871
5,1077,1,1920,961,1077,0
8,2452,3,2004,1117,1132,1320
6,1470,2,1997,794,794,676
7,1459,2,2002,1459,1459,0
6,754,0,1935,520,520,0
7,1428,2,2008,1417,1428,0
6,1368,1,1910,684,684,684
6,848,2,2003,848,848,0
7,1954,2,1939,798,1137,817
4,1573,1,1935,884,989,584
7,1555,2,2005,1373,1555,0
5,1236,1,1961,912,1236,0
5,1387,1,1954,811,811,576
8,1904,2,2005,1058,1058,846
5,864,1,1972,864,864,0
8,1908,2,2002,967,993,915
6,1034,3,1976,1012,1034,0
6,1487,1,1945,735,798,689
2,480,1,1949,480,480,0
8,1734,3,2007,1734,1734,0
6,1851,2,1964,822,1020,831
4,960,1,1920,960,960,0
6,2259,2,1953,1809,2259,0
5,694,1,1913,440,694,0
5,1344,1,1958,1024,1344,0
5,1056,2,1955,1056,1056,0
6,1632,2,1966,800,800,832
7,1392,2,2007,689,703,689
6,1362,2,1920,611,751,611
5,1159,1,1968,1051,1159,0
7,1560,2,2003,1560,1560,0
8,1742,2,1882,916,916,826
5,1347,0,1910,1117,820,527
4,864,2,1972,864,864,0
6,1456,2,2006,728,728,728
6,987,1,1971,483,483,504
4,1181,2,1972,1138,1181,0
5,938,1,1975,938,938,0
6,923,1,1980,923,923,0
6,1355,0,1914,684,773,582
3,1163,1,1955,1162,1163,0
3,1040,2,1949,0,1040,0
5,796,0,1910,796,796,0
6,1309,2,1974,1040,1309,0
7,1680,2,1998,1650,1680,0
6,1431,1,1962,1099,1431,0
4,858,1,1971,858,858,0
5,1904,1,1950,1208,1136,768
5,1236,1,1957,1070,1236,0
6,1165,2,1966,1127,1165,0
5,1779,2,1955,1763,1779,0
5,840,0,1930,672,840,0
7,1920,2,1968,570,1222,698
5,1355,0,1940,644,808,547
8,2000,3,2004,2000,2000,0
7,1744,2,1993,996,1014,730
5,630,0,1970,630,630,0
5,1363,1,1951,1008,1363,0
5,1472,1,1925,702,842,630
7,2062,2,1988,1157,1180,882
5,1155,2,1961,1109,1155,0
3,1040,2,1950,0,1040,0
6,1876,2,1974,901,943,933
6,1586,2,1979,1362,1586,0
4,1317,1,1920,649,649,668
7,2167,2,1974,1192,1516,651
8,3447,3,1935,728,1968,1479
8,2020,2,1995,1128,1142,878
4,816,1,1938,816,816,0
5,1056,1,1954,1056,1056,0
6,1928,1,1910,1020,908,1020
6,1442,2,1970,1442,1442,0
5,1869,2,1890,1088,1188,561
6,1414,2,1958,1184,1414,0
4,894,2,1954,894,894,0
6,1294,2,1991,1278,1294,0
5,894,1,1976,894,894,0
6,1839,2,1957,1477,1839,0
5,1652,1,1915,686,966,686
4,1180,1,1922,700,1180,0
6,1573,2,2000,756,769,804
5,1344,1,1920,672,672,672
7,1344,4,1997,1344,1344,0
5,985,1,1977,985,985,0
5,1687,2,1948,747,1687,0
6,1212,2,1977,506,1212,0
7,1416,2,1999,696,696,720
7,2207,2,1970,1947,2207,0
5,936,2,1980,936,936,0
8,1580,3,2007,1580,1580,0
7,1456,2,2005,728,728,728
7,1212,2,2001,1212,1212,0
4,1328,1,1925,686,810,518
5,816,1,1982,816,816,0
5,1960,2,1952,960,960,1000
6,2134,2,1916,844,1445,689
6,1456,2,1978,855,855,601
5,936,1,1956,936,936,0
5,970,2,1963,970,970,0
5,860,2,1982,840,860,0
6,1502,1,1923,602,900,602
7,2243,3,1990,700,1122,1121
5,1466,2,1936,796,1096,370
7,1690,1,1916,815,815,875
7,1726,3,2007,1726,1726,0
7,1552,3,2005,1552,1552,0
6,1382,2,1962,1362,1382,0
5,899,1,1967,864,899,0
5,1099,1,1995,1099,1099,0
7,1826,1,1915,910,916,910
6,918,1,1979,918,918,0
4,1178,1,1900,859,859,319
8,2098,3,2005,1030,1038,1060
6,1721,2,1994,928,936,785
6,1375,1,1937,780,780,595
5,1520,1,1932,793,848,672
10,3608,3,1892,1107,1518,1518
6,987,1,1972,483,483,504
8,1370,2,2006,1370,1370,0
5,1022,1,1910,1022,1022,0
6,1262,2,2006,1262,1262,0
6,1352,1,1969,663,663,689
7,1725,2,1979,539,1040,685
6,1062,2,1976,1029,1062,0
5,1376,1,1941,768,968,408
5,1712,2,1959,1626,1712,0
7,1720,2,2004,860,860,860
5,1040,1,1959,1040,1040,0
4,864,2,1971,864,864,0
5,900,1,1967,882,900,0
7,2520,3,1995,1203,1214,1306
10,2020,3,2009,2006,2020,0
7,1314,2,2007,1314,1314,0
6,1520,1,1955,1156,1520,0
7,1221,2,2004,1221,1221,0
7,1839,2,1998,1195,1195,644
7,1496,2,2006,654,664,832
7,1547,2,2009,756,764,783
5,1576,2,1923,1324,1072,504
5,2414,2,1900,954,1766,648
5,691,1,1920,691,691,0
7,1664,2,1976,832,832,832
5,1065,2,1960,1065,1065,0
6,1026,2,1969,1026,1026,0
8,1419,2,2007,1419,1419,0
4,990,0,1994,990,990,0
6,1328,2,1963,1328,1328,0
5,1484,2,1971,1484,1484,0
5,1097,2,1994,1097,1097,0
7,1850,2,1994,973,979,871
3,1214,3,1915,672,694,520
6,1072,2,2005,547,1072,0
7,1948,2,2004,847,847,1101
8,1554,2,2006,1554,1554,0
9,1684,2,2005,1684,1684,0
5,990,2,1994,990,990,0
5,1214,2,1965,1214,1214,0
8,1656,3,2006,1656,1656,0
3,1040,2,1950,0,1040,0
5,1044,2,1952,540,1044,0
8,1989,2,2002,1065,1091,898
5,1028,2,1927,1008,1028,0
5,1056,1,1958,1056,1056,0
5,1130,2,1920,1120,1130,0
5,1152,2,1964,1152,1152,0
6,1556,2,1980,716,716,840
4,693,0,1941,693,693,0
4,630,1,1970,630,630,0
6,1482,1,1925,672,810,672
5,1416,3,1915,876,876,540
5,1073,2,1965,1073,1073,0
5,1473,1,1968,1437,1473,0
6,1224,2,2009,612,612,612
8,1987,2,1994,1986,1987,0
4,882,0,1956,882,882,0
6,2201,2,1966,697,1575,626
6,1811,2,1956,1073,1811,0
4,520,1,1927,520,520,0
8,1959,3,2006,1088,1088,871
5,894,1,1962,894,894,0
8,1496,2,2007,1496,1496,0
6,1728,2,2003,864,864,864
8,2161,3,2007,1582,1610,551
7,1108,1,1930,637,1108,0
5,1348,1,1925,884,884,464
8,1787,3,2001,1753,1787,0
6,1204,2,1998,1204,1204,0
6,1603,2,1992,761,810,793
7,1829,2,2003,941,941,888
5,864,1,1972,864,864,0
7,1266,2,2007,1266,1266,0
9,1944,3,2003,1896,1944,0
7,1446,2,1996,729,729,717
7,1250,2,2006,625,625,625
7,1626,2,2003,764,764,862
7,1923,2,1992,750,1061,862
5,1786,2,1965,1499,1619,167
6,1342,2,1967,1372,1342,0
7,2046,3,2003,998,1006,1040
5,990,2,1995,990,990,0
5,1475,1,1977,757,925,550
7,1484,2,2004,1473,1484,0
5,2002,3,1949,1001,1001,1001
5,1178,2,1973,1176,1178,0
5,912,2,1965,912,912,0
7,1541,2,2005,1541,1541,0
6,1644,2,1953,1416,1644,0
6,1489,1,1940,778,944,545
8,1659,2,2000,1501,1659,0
6,1456,2,2005,728,728,728
4,1620,2,1976,1281,1620,0
4,912,0,1947,0,672,240
6,1322,2,1974,855,855,467
7,1200,2,2003,1176,1200,0
5,2008,1,1948,896,1112,896
7,1550,2,2006,1092,1112,438
5,1340,1,1957,0,1340,0
4,630,1,1970,630,630,0
6,1500,2,2005,750,750,750
6,1516,2,1964,1516,1516,0
5,1192,1,1920,596,596,596
7,1504,2,2005,1346,1504,0
6,1844,2,1969,1844,1844,0
5,2200,0,1900,1272,1272,928
6,1501,2,1993,697,697,804
6,1824,0,1971,912,912,912
5,1750,1,1880,636,1089,661
