OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,ExterQual,Fireplaces,Neighborhood
5,892,1,1967,892,892,0,TA,0,NAmes
7,1929,2,2001,1057,1057,872,Gd,1,Somerst
5,1078,2,1971,1078,1078,0,TA,1,NAmes
6,1710,2,1993,832,832,878,Gd,0,SawyerW
6,1552,2,1975,713,811,741,TA,1,NWAmes
5,864,2,1958,864,864,0,TA,0,NAmes
8,1924,2,1998,1086,1086,838,Gd,1,NoRidge
5,1077,1,1939,991,1077,0,TA,2,BrkSide
5,1344,3,1916,624,624,720,TA,0,OldTown
6,1509,2,2002,783,807,702,Gd,1,Gilbert
9,1698,3,2007,1698,1698,0,Ex,1,Edwards
6,2358,2,1908,907,1307,1051,TA,1,ClearCr
4,864,2,1970,864,864,0,TA,0,NAmes
6,2614,2,1974,1522,1548,1066,TA,1,NWAmes
6,1072,2,2005,547,1072,0,TA,0,Edwards
7,1674,2,2000,814,814,860,Gd,0,Somerst
5,875,1,1931,715,875,0,TA,0,BrkSide
5,1721,2,1968,1461,1721,0,TA,1,Sawyer
6,1456,2,2005,728,728,728,TA,0,Gilbert
7,1242,2,1973,1242,1242,0,TA,1,NWAmes
6,1302,1,1964,1302,1302,0,TA,0,NAmes
8,2526,3,1994,1165,1203,1323,Gd,1,NoRidge
6,1291,2,1996,1291,1291,0,TA,1,ClearCr
7,1661,2,1998,1649,1661,0,TA,0,CollgCr
8,1601,2,2001,1581,1601,0,Gd,1,CollgCr
5,3086,0,1946,1598,1636,971,TA,1,ClearCr
7,2069,2,1960,585,2069,0,TA,1,NAmes
6,1537,2,1962,1319,1537,0,Gd,1,NAmes
5,1664,0,1965,0,1664,0,TA,0,Edwards
6,1196,2,1920,684,684,512,TA,0,Edwards
6,752,1,1984,744,752,0,TA,0,SawyerW
7,2646,3,1993,1347,1372,1274,Gd,1,NoRidge
6,2058,2,1917,735,1134,924,TA,1,OldTown
5,964,2,1921,876,964,0,TA,0,Crawfor
6,1786,2,1997,824,905,881,TA,0,CollgCr
4,2230,1,1912,795,954,795,Gd,0,SWISU
8,3279,3,2003,1650,1690,1589,Ex,1,StoneBr
4,1123,1,1939,732,772,351,TA,0,IDOTRR
8,2452,2,1998,1028,1210,1242,Gd,1,CollgCr
5,1268,1,1954,1268,1268,0,TA,1,NAmes
6,1386,2,1978,672,672,714,TA,1,Sawyer
5,2620,2,1977,1361,1361,1259,TA,1,Sawyer
7,1660,2,2002,831,831,829,Gd,0,CollgCr
5,1343,1,1921,731,820,523,TA,1,Crawfor
7,1135,2,1936,560,575,560,Gd,0,SWISU
4,1005,2,1955,1005,1005,0,TA,1,NAmes
7,1358,2,2004,1358,1358,0,Gd,1,NridgHt
7,2784,2,1978,1392,1392,1392,TA,2,NWAmes
5,1134,1,1960,1010,1134,0,TA,0,NAmes
5,789,1,1948,789,789,0,TA,0,OldTown
8,1694,3,2008,1694,1694,0,Gd,0,CollgCr
5,1728,2,1963,1728,1728,0,TA,0,Sawyer
5,1126,2,1977,1126,1126,0,TA,1,Mitchel
